sample,ASV001,ASV002,ASV003,ASV004,ASV005,ASV006,ASV007,ASV008,ASV009,ASV010,ASV011,ASV012,ASV013,ASV014,ASV015,ASV016,ASV017,ASV018,ASV019,ASV020,ASV021,ASV022,ASV023,ASV024,ASV025,ASV027,ASV028,ASV029,ASV030,ASV032,ASV033,ASV034,ASV035,ASV036,ASV037,ASV038,ASV039,ASV040,ASV041,ASV042,ASV043,ASV044,ASV045,ASV046,ASV048,ASV049,ASV050,ASV051,ASV052,ASV055,ASV056,ASV058,ASV059,ASV061,ASV062,ASV063,ASV064,ASV065,ASV066,ASV067,ASV068,ASV069,ASV070,ASV071,ASV072,ASV073,ASV075,ASV077,ASV078,ASV079,ASV080,ASV081,ASV082,ASV083,ASV084,ASV085,ASV086,ASV087,ASV090,ASV091,ASV092,ASV093,ASV095,ASV097,ASV098,ASV099,ASV102,ASV103,ASV104,ASV108,ASV111,ASV112,ASV114,ASV116,ASV117,ASV118,ASV126,ASV127,ASV132,ASV153,ASV155
BPS_high_wk22_inoculum_d0_A,0.00271005,0.424273448,0.207731817,0.006831048,0.095944388,1.2905e-4,0.115164238,0.013550252,8.47428e-4,0.005480324,0.001096925,0.001905639,0.026885421,0,1.20447e-4,0.001681952,0.00178089,0.028683518,3.14022e-4,0.009046406,0.002030387,7.44188e-4,7.14077e-4,0,1.8067e-4,4.3877e-4,0.00203899,1.67765e-4,0.001875527,0.002223962,4.73e-5,8.6e-5,0.002727257,4.6458e-4,0.005587866,0.002206755,5.33407e-4,0,0.004353287,7.69998e-4,3.44e-5,3.26927e-4,0.008573223,0.008112945,5.6782e-4,1.59162e-4,0,0,0.002740162,4.47373e-4,9.89e-5,0,2.3229e-4,0.002791782,7.74e-5,7.44188e-4,8.99048e-4,0,1.76368e-4,7.14077e-4,1.11843e-4,1.0324e-4,2.88212e-4,2.15e-5,9.46e-5,0,1.11843e-4,0,0,3.87e-5,0,9.46e-5,2.62402e-4,0,0,6.02e-5,4.3e-5,2.58e-5,0,4.3e-5,0,4.43072e-4,0,0,0,0,8.6e-6,1.20447e-4,0,0,0,0,0,0,3.01e-5,0,0,0,0,0,0
BPS_high_wk22_inoculum_d0_B,0.002059072,0.330004444,0.214282564,0.002238859,0.09879814,0,0.226311344,0.009477837,4.20634e-4,0.006299335,0.001177097,0.002435607,0.027839874,0,1.11943e-4,0.001882677,0.003300621,0.021835661,3.35829e-4,0.008863847,0.001746989,0.002143877,5.32577e-4,0,4.00281e-4,3.05299e-4,0.001479004,4.17242e-4,0.00016621800000000001,0.001604516,0,1.93356e-4,0.001160136,8.78583e-4,0.002703592,0.002109955,5.59715e-4,0,0.002968184,0.001034624,3.73e-5,1.83179e-4,0.004599838,0.005390223,4.4438e-4,2.17101e-4,0,0,0.002737514,3.86712e-4,1.96748e-4,0,2.98515e-4,0.00357539,5.77e-5,7.08972e-4,7.25933e-4,9.16e-5,2.88338e-4,4.00281e-4,1.28904e-4,1.79787e-4,2.74769e-4,0,1.49257e-4,0,6.45e-5,0,0,3.39e-5,0,8.48e-5,1.28904e-4,0,0,0,4.07e-5,0,1.36e-5,0,0,3.69751e-4,0,0,0,0,0,9.16e-5,0,0,0,0,2.04e-5,0,0,0,0,0,0,0,0
BPS_high_wk22_inoculum_d0_D,0,0.272533744,0.154276872,0.037446668,0.080537393,0,0.227439423,0.005491999,9.83909e-4,0.006686106,0.005335468,0.002097514,0.090702958,0.004883765,1.02863e-4,0.001659228,0.011574343,0.017137899,4.6512e-4,0.016994785,0.00315298,0.001981234,0.003439208,6.44013e-4,8.00544e-4,1.65476e-4,0.005979481,1.29697e-4,0.010384708,0.002830973,2.19143e-4,9.39e-5,0.010483099,8.13961e-4,0.002813084,0,0,0,6.5743e-4,0.004955322,2.77283e-4,0.001927566,0.004226335,0.00249555,0.001529531,6.71e-5,1.47586e-4,0,0,0.001050993,3.57785e-4,4.92e-5,1.11808e-4,0,3.58e-5,3.71202e-4,0,0,0,6.26e-5,7.6e-5,2.19143e-4,0,8.94e-5,3.39896e-4,0,0,9.84e-5,0,0,9.84e-5,0,0,6.71e-5,3.13062e-4,0,0,0,0,0,6.26e-5,0,0,0,0,0,0,0,0,0,3.13e-5,0,0,0,0,0,0,0,0,0,0
BPS_high_wk22_inoculum_d0_E,0,0.193656644,0.154040789,0.012491805,0.070847139,1.77e-5,0.172050251,0.005046335,0.007147793,0.011230221,0.002285735,0.004631713,0.11744423,0.014536563,9.92e-5,0.004397824,0.012711519,0.053124723,0.001357266,0.039669011,0.004652976,0.0018215,0.004270248,0.001346634,0.001973882,8.15e-5,0.006935167,1.77189e-4,0.020008151,0.005358187,7.01667e-4,8.15e-5,0.044754328,2.55152e-4,0.00248773,0,1.20488e-4,0,0.00305119,0.003100803,3.57921e-4,0.003327604,0.007009586,0.003579212,4.00447e-4,8.86e-5,2.1617e-4,0,0,4.64234e-4,2.87046e-4,0,5.67e-5,0,1.8782e-4,3.50834e-4,0,2.1617e-4,0,0.001584067,2.19714e-4,1.34663e-4,0,9.57e-5,7.65455e-4,0,0,0.001236777,0,0,4.25253e-4,0,0,9.57e-5,4.39428e-4,0,0,0,0,0,2.97677e-4,0,0,0,0,1.24032e-4,0,0,0,0,0,0,0,7.44e-5,0,0,0,0,0,0,0
BPS_high_wk22_inoculum_d0_F,6.61e-5,0.132755465,0.266449085,0.024164085,0.157012044,0,0.277125548,0.005770971,4.62471e-4,0.003993763,0.007178203,0.001859792,0.054839093,0.013051579,3.76583e-4,4.49257e-4,0.006104611,0.009361725,5.71481e-4,0.004469447,6.54065e-4,0.003475136,0.001469996,2.47752e-4,1.42045e-4,1.35438e-4,0.001516243,3.46853e-4,0.0040301,9.41458e-4,1.05708e-4,1.68471e-4,0.002807857,0.003432192,0.001033952,0,3.96e-5,0,3.13819e-4,0.002986238,2.21325e-4,0.002120758,0.001380805,0.002497341,2.80786e-4,6.44155e-4,3.79886e-4,0,0,4.39347e-4,8.39054e-4,0,1.78381e-4,0,0,2.31235e-4,0,0,0,5.95e-5,1.65e-5,3.23729e-4,0,1.98e-5,4.62e-5,0,0,2.64e-5,5.29e-5,0,1.51955e-4,0,0,2.64e-5,6.28e-5,0,0,2.31e-5,0,0,1.98e-5,0,0,0,1.98e-5,0,0,0,0,0,1.98e-5,0,0,0,0,3.3e-6,6.61e-6,0,0,0,0
BPS_high_wk22_inoculum_d0_G,8.76e-5,0.089289748,0.103991019,9.44e-5,0.034014179,2.7e-5,0.233565151,0.007450083,0.012803355,0.017131819,0.002005792,0.006681477,0.136080313,2.52831e-4,1.04503e-4,0.007780448,0.017007089,0.043564443,1.61812e-4,0.047636706,0.004780189,8.83222e-4,0.009604202,0.002393466,0.002339528,1.8878e-4,0.012806726,3.16881e-4,0.036852627,0.007075893,4.95548e-4,1.2473e-4,0.093938464,0.00694105,0.017735242,0,1.92151e-4,0,0.007622008,0.005268995,3.70819e-4,0.004412741,0.008987294,0.002747429,0.001746218,2.12378e-4,3.1351e-4,0,0,0.002299075,7.55122e-4,3.71e-5,2.39347e-4,0,6.07e-5,7.71977e-4,0,4.38e-5,0,0.001486645,1.44956e-4,3.97787e-4,0,2.02e-5,0.001398997,0,0,0.001506872,0,2.7e-5,8.52883e-4,0,0,2.05636e-4,7.65235e-4,0,2.7e-5,2.36e-5,0,0,3.97787e-4,0,0,4.72e-5,1.35e-5,1.41585e-4,0,0,5.39e-5,0,1.69e-5,0,2.02e-5,1.5507e-4,0,0,0,0,0,0,0
BPS_high_wk22_control_d2_A,2.6436e-4,0.222162463,0.112981887,0.019289146,0.122804219,0.047625776,0.068847483,0.185142982,3.09939e-4,0.05245262,6.51784e-4,0.02152253,0.022584527,0,0.002429375,0.005770335,0.00947593,0.024284633,1.23064e-4,0.012370213,0.001162271,0.003951722,0.013026554,1.5497e-4,0.002698293,0.001508674,0.0045716,7.83963e-4,3.91982e-4,8.34101e-4,0.001463094,0.001536021,6.65457e-4,0.001440305,0.001207851,0.002069299,9.6628e-4,0,0.001782149,6.79131e-4,2.28e-5,1.18506e-4,0.006741174,0.009699268,4.87698e-4,7.29e-5,0,0.001285335,0.004407515,7.475e-4,1.41296e-4,0,2.23338e-4,0.001294451,4.56e-5,2.4157e-4,5.78857e-4,6.38e-5,2.05107e-4,1.91433e-4,0,4.19329e-4,1.91433e-4,0,2.14223e-4,0,8.2e-5,0,0,0,0,6.38e-5,3.19e-5,6.84e-5,0,4.56e-5,7.29e-5,0,9.12e-6,0,0,2.73e-5,1.82e-5,3.19e-5,0,0,1.82e-5,1.0939e-4,1.37e-5,0,0,0,0,0,0,9.12e-6,0,0,0,1.82e-5,0
BPS_high_wk22_control_d2_B,6.8717e-4,0.257967797,0.160800759,0.026441369,0.078428436,0.045447204,0.135918738,0.086145886,2.29057e-4,0.051681658,7.72332e-4,0.023622209,0.016418669,0,0.005068614,0.004625184,0.012636296,0.013003374,6.37248e-4,0.006149292,7.66459e-4,0.01098004,0.008087464,7.93e-5,0.005429819,0.003265527,0.004777888,0.00187944,2.35e-5,5.46212e-4,0.004287472,6.19628e-4,2.96599e-4,0.003518076,4.93353e-4,0.001826581,7.57649e-4,0,0.001204016,7.48839e-4,4.7e-5,5.84388e-4,0.003943887,0.007344498,6.98917e-4,4.84543e-4,0,7.72332e-4,0.004657487,4.25811e-4,1.82071e-4,0,1.35085e-4,0.0018442,2.64e-5,3.34775e-4,3.75888e-4,5.29e-5,4.7867e-4,6.75e-5,6.46e-5,5.93198e-4,8.22e-5,0,1.58578e-4,0,3.82e-5,0,0,0,0,0,4.11e-5,2.64e-5,0,0,2.64e-5,0,1.47e-5,0,0,1.38021e-4,0,1.17e-5,0,0,0,5.29e-5,0,2.06e-5,0,0,0,0,0,0,0,5.87e-6,0,0,0
BPS_high_wk22_control_d2_C,0,0.03499333,0.06075478,0.024335816,0.023693864,0.031866941,0.165854269,0.092785683,6.80858e-4,0.090345709,0,0.033739996,0.169072365,0,0.001778568,0.017732881,0.012814028,0.06573755,4.27968e-4,0.022132059,0.002125945,0.003498777,0.024816585,9.11516e-4,0,0.004249111,0.015982103,0.005960983,0,0.003143064,0.012611161,0.001445087,0.002798466,0.007720098,0.012705647,0.00351823,3.61e-5,0,0.005596932,0.00351823,5.66919e-4,9.58759e-4,0.013114162,0.011566252,1.94531e-4,3.11249e-4,0,0.001256114,0.001789684,6.11383e-4,0.00101434,0,2.89017e-4,1.33393e-4,9.03179e-4,2.22321e-4,0.001333926,2.05647e-4,4.91885e-4,0.001236661,0.00014173000000000001,5.61361e-4,0.001353379,0,7.14206e-4,0,3.77946e-4,0,0,0,0,0,1.25056e-4,1.66741e-4,0,0,2.00089e-4,0,0,2.61227e-4,2.64006e-4,0,0,1.38951e-4,0,0,2.78e-5,0,0,0,0,0,0,0,3.06e-5,0,0,0,3.06e-5,0,0
BPS_high_wk22_control_d2_D,1.58e-5,0.214607744,0.140163598,0.025459527,0.079153902,0.002400278,0.113985567,0.086958753,4.81635e-4,0.066864321,0.004895304,0.009893251,0.08024745,0.011957964,0.010347251,0.013596311,0.02146038,0.015925528,7.73774e-4,0.012265894,0.001168556,0.004765025,0.009624799,0.007252156,0.002194991,0.00103433,0.012715946,0.001354104,0.013150207,0.001958121,2.21078e-4,3.31617e-4,0.001290939,0.002463443,8.56678e-4,0,0,0,3.95e-5,0.005297982,0.002198939,0.00266873,0.004291286,0.006569182,0.002735843,6.32e-5,7.264e-4,2.25026e-4,0,8.172e-4,2.60556e-4,3.55e-5,1.30278e-4,0,5.13e-5,2.40817e-4,0,3.95e-5,0,0,5.53e-5,6.55339e-4,0,4.74e-5,6.356e-4,0,0,0,0,1.58e-5,0,0,0,7.9e-5,1.50017e-4,0,5.13e-5,0,0,0,3.95e-5,0,0,0,0,2.76e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS_high_wk22_control_d2_E,0,0.208509799,0.146908646,0.014517103,0.078090019,0.057246844,0.112254916,0.035947699,0.001322724,0.061034272,0.002070351,0.015309916,0.042898163,0.029560009,0.002115537,0.008297835,0.028882216,0.024002103,0.00178691,0.034949494,0.00330681,0.004074976,0.01535921,0.006502709,0.003388967,3.32735e-4,0.011247263,0.003027477,0.01132942,0.002579723,6.28499e-4,5.75097e-4,0.004937622,0.001096793,5.66882e-4,0,1.19127e-4,0,3.29e-5,0.00311785,0.004374849,0.002629017,0.003672408,0.006782042,5.1348e-4,7.39e-5,8.13352e-4,7.8e-5,0,4.47754e-4,1.72529e-4,1.19127e-4,2.05392e-4,0,2.88e-5,2.91657e-4,0,0,0,2.34147e-4,7.39e-5,2.42363e-4,0,2.88e-5,4.39539e-4,0,0,0,0,3.7e-5,0,8.22e-5,0,5.75e-5,4.10784e-4,0,0,4.52e-5,0,0,8.63e-5,0,0,2.46e-5,0,4.11e-5,0,0,3.7e-5,0,0,2.88e-5,0,0,0,0,0,0,0,0,0
BPS_high_wk22_control_d2_F,0,0.118677146,0.239196575,0.009256273,0.176962787,0.022906543,0.136457828,0.044085771,0,0.057893069,0.007781326,0.010363886,0.040378775,0.030003673,0.010714396,0.007604669,0.020952098,0.0049464,0.001951641,0.003726624,2.21522e-4,0.008499171,0.004464098,0.003062057,6.7298e-4,3.28078e-4,0.013109082,0.001012273,0.003137767,2.63584e-4,5.89e-5,2.71996e-4,2.49563e-4,0.004029465,2.15914e-4,0,4.49e-5,0,0,0.001522616,0.00108518,0.002058196,6.50547e-4,0.004660384,4.20612e-4,6.78588e-4,0.002994759,7.01e-5,0,7.37473e-4,4.31829e-4,0,1.26184e-4,0,0,2.57976e-4,0,0,0,0,1.06555e-4,3.89767e-4,0,3.65e-5,1.76657e-4,0,0,0,2.24e-5,0,0,0,0,0,1.96e-5,0,0,0,0,0,0,0,0,0,5.33e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS_high_wk22_control_d2_G,2.54e-5,0.065662231,0.080312453,3.68639e-4,0.029011253,0.050865825,0.165290097,0.089293262,0.002713946,0.115771711,0.0012235,0.022788881,0.069583788,7.341e-4,0.003734059,0.016321809,0.031146817,0.026290952,2.22455e-4,0.041230364,0.002634498,0.001671587,0.023828062,0.012571861,0.005532763,8.48505e-4,0.018295299,0.003803973,0.042390306,0.004684258,4.51265e-4,0.00120761,0.012994524,0.014939413,0.003810329,0,3.33682e-4,1.59e-5,2.22e-5,0.005326198,0.004401422,0.002736191,0.010331426,0.003301861,0.004074096,1.49362e-4,0.001395108,1.04871e-4,0,6.95965e-4,4.63977e-4,4.70333e-4,3.30504e-4,0,1.27117e-4,4.95756e-4,0,0,0,1.14405e-4,1.5254e-4,6.45118e-4,0,0,0.001280703,0,0,0,0,0,0,0,0,8.58e-5,2.31988e-4,0,6.99e-5,0,0,0,9.22e-5,0,3.18e-6,6.36e-5,2.22e-5,1.39829e-4,0,0,4.13e-5,0,0,0,0,0,0,0,0,0,0,0,0
BPS_high_wk22_bps_d2_A,4.74401e-4,0.24687894,0.138965181,0,0.081765521,0.035985818,0.128456574,0.113678356,5.64912e-4,0.055851363,6.80391e-4,0.021644549,0.023629543,0,0.00594874,0.006076703,0.014266364,0.02318011,0.001036192,0.010639692,9.76892e-4,0.010299497,0.009169673,6.87e-5,0.008273929,0.001585498,0.004847006,0.00135454,3.5268e-4,0.001179761,8.89502e-4,0.001544925,8.17718e-4,0.002262768,0.001426324,0.001916331,9.67528e-4,0,0.001803972,6.55423e-4,3.12e-5,4.9937e-4,0.007649717,0.01499045,9.4256e-4,5.24338e-4,0,0.001395114,0.006476199,9.26955e-4,1.65416e-4,0,1.40448e-4,0.001370145,9.36e-5,6.30454e-4,0.001051797,1.15479e-4,2.27837e-4,2.96501e-4,4.99e-5,0.001198487,1.90385e-4,0,2.02869e-4,0,1.37327e-4,0,0,1.87e-5,0,0,3.75e-5,1.87e-5,0,5.62e-5,7.8e-5,0,2.5e-5,4.68e-5,0,1.65416e-4,6.24e-6,0,0,0,1.25e-5,8.11e-5,0,1.87e-5,0,0,0,0,0,0,0,6.24e-6,0,0,6.24e-6
BPS_high_wk22_bps_d2_B,5.58416e-4,0.282292818,0.170047331,0.007756207,0.086558347,0.060686351,0.129664219,0.073298853,3.27347e-4,0.045940315,9.55084e-4,0.018978445,0.01526209,0,0.00551484,0.005992382,0.010952658,0.010871784,0.001032107,0.006300474,6.43141e-4,0.007744654,0.007101512,5.78e-5,0.005861443,0.004956424,0.004779272,0.002403115,0,6.00779e-4,0.002410817,3.54305e-4,4.12073e-4,0.004552054,4.50584e-4,0.001282431,9.01168e-4,0,7.66378e-4,8.7421e-4,4.62e-5,3.08092e-4,0.002799783,0.007309474,9.43531e-4,3.42752e-4,0,7.97187e-4,0.003554607,3.92817e-4,1.77153e-4,0,8.09e-5,0.001736867,1.93e-5,3.38901e-4,1.88706e-4,0,4.92947e-4,1.54046e-4,4.24e-5,4.23626e-4,1.03981e-4,0,1.11683e-4,0,5.39e-5,0,0,0,0,8.47e-5,1.93e-5,1.54e-5,0,0,0,1.54e-5,2.7e-5,0,0,1.30939e-4,0,0,0,0,1.16e-5,9.24e-5,0,0,0,3.47e-5,0,0,0,0,0,0,0,0,0
BPS_high_wk22_bps_d2_C,1.14e-5,0.041104366,0.071764482,0.015385401,0.028046216,0.017005963,0.153632641,0.116793956,8.79815e-4,0.080148263,1.13524e-4,0.031579664,0.165163887,0,0.001027396,0.012402546,0.007211641,0.065773229,2.49754e-4,0.022335936,0.002897712,0.00341141,0.040420381,6.32899e-4,1.7e-5,0.002125745,0.015609612,0.003729278,0,0.003899565,0.011911553,0.00132256,0.003025427,0.007160555,0.013137617,0.003652649,9.65e-5,1.14e-5,0.007035678,0.003720764,7.95e-5,0.001106863,0.016954877,0.011318388,1.81639e-4,2.92325e-4,0,0.001600695,0.002818245,5.73298e-4,0.001035911,0,2.78135e-4,1.78801e-4,8.79815e-4,1.9583e-4,0.001697191,1.9583e-4,6.27223e-4,9.45091e-4,1.5042e-4,4.56936e-4,0.001776658,5.11e-5,5.02346e-4,0,3.97336e-4,0,0,2.27e-5,0,0,1.56096e-4,2.66782e-4,0,0,5.68e-5,0,9.08e-5,1.73125e-4,2.35563e-4,0,0,6.24e-5,1.99e-5,0,0,0,1.7e-5,2.55e-5,0,2.27e-5,0,0,4.26e-5,0,0,0,2.55e-5,0,8.51e-6
