sample,ASV001,ASV002,ASV003,ASV004,ASV005,ASV006,ASV007,ASV008,ASV009,ASV010,ASV011,ASV012,ASV013,ASV014,ASV015,ASV016,ASV017,ASV018,ASV019,ASV020,ASV021,ASV022,ASV023,ASV024,ASV025,ASV027,ASV028,ASV029,ASV030,ASV032,ASV033,ASV034,ASV035,ASV036,ASV037,ASV038,ASV039,ASV040,ASV041,ASV042,ASV043,ASV044,ASV045,ASV046,ASV048,ASV049,ASV051,ASV053,ASV055,ASV056,ASV058,ASV059,ASV061,ASV062,ASV063,ASV065,ASV066,ASV067,ASV068,ASV069,ASV070,ASV071,ASV072,ASV073,ASV075,ASV077,ASV079,ASV080,ASV081,ASV082,ASV083,ASV084,ASV085,ASV086,ASV087,ASV088,ASV090,ASV091,ASV092,ASV093,ASV095,ASV097,ASV098,ASV099,ASV102,ASV105,ASV106,ASV108,ASV111,ASV114,ASV115,ASV121,ASV123,ASV126,ASV134,ASV136,ASV142,ASV153
DINP_high_wk40_inoculum_d0_A,5.69693e-4,0.312738841,1.94598e-4,1.52294e-4,1.0717e-4,8.74e-5,0.430510157,0.011142855,0.011616659,0.008051848,2.51003e-4,0.004723939,0.043333324,0,3.01768e-4,0.007092959,3.77915e-4,0.05954701,0.001689337,0.029841191,0.002921791,0.005155439,0.00344354,0.002374661,0.002594641,2.05879e-4,0.006819393,2.62284e-4,0.005443105,0.002340817,2.70745e-4,2.76386e-4,0.001020935,2.59464e-4,0.021075817,0,0.003578912,3.38e-5,0.009820152,0.001305781,7.05e-5,8.54539e-4,7.30448e-4,0.001759843,3.49712e-4,0,1.43833e-4,0,1.26912e-4,6.77e-5,0,0,0,5.36e-5,4.82265e-4,0,0,8.96843e-4,2.84846e-4,0,6.49e-5,3.95e-5,8.54539e-4,0,2.54e-5,0,1.97e-5,0,1.1281e-4,8.46e-5,0,4.90726e-4,0,5.08e-5,3.38e-5,0,0,0,1.21271e-4,0,0,0,1.72036e-4,1.0717e-4,1.13e-5,2.48183e-4,0,2.54e-5,8.46e-6,1.13e-5,1.35373e-4,0,0,0,2.82e-5,0,0,0
DINP_high_wk40_inoculum_d0_B,6.9923e-4,0.503106807,3.86696e-4,1.59e-5,8.21e-5,2.38e-5,0.30936174,0.013854825,0.005191255,0.00506942,0.001546782,0.00363123,0.044660688,0,1.61565e-4,0.002778381,0.001414352,0.036338788,7.25716e-4,0.01235042,0.001713644,0.005021745,0.002460549,3.44318e-4,0.002391686,5.21774e-4,0.00364977,4.10533e-4,0.006308964,0.002852542,6.62e-5,1.58916e-4,0.007805423,2.75454e-4,0.003978197,0,9.16415e-4,3.71e-5,0.001917586,0.001213059,1.58916e-4,2.25131e-4,0.003300155,0.005358117,2.59563e-4,4.24e-5,6.36e-5,0,1.08593e-4,2.09239e-4,0,1.56267e-4,5.45612e-4,9.27e-5,2.99292e-4,7.15e-5,5.69449e-4,0.001417001,6.62e-5,5.03e-5,8.95227e-4,0,3.73453e-4,0,1.80105e-4,0,7.68e-5,0,1.37727e-4,4.44965e-4,2.65e-5,0,3.44e-5,3.97e-5,1.85e-5,0,7.95e-6,0,7.42e-5,1.61565e-4,0,0,8.18417e-4,3.44e-5,0,1.05944e-4,3.71e-5,2.12e-5,1.59e-5,1.06e-5,0,0,2.65e-5,0,1.59e-5,0,0,0
DINP_high_wk40_inoculum_d0_D,0.002059377,0.340201633,0.096093121,0.016864627,7.42e-6,0,0.366496722,0.009927681,8.90541e-4,0.006257908,0,0.001591843,0.031387872,2.78e-5,7.24e-5,0.005404473,1.8924e-4,0.038330383,1.81819e-4,0.018497286,9.1466e-4,0.006283882,0.002146576,8.31172e-4,2.61597e-4,0.00012801500000000001,0.003478677,1.8924e-4,0.009998182,0.002512069,7.36552e-4,1.48424e-4,3.11689e-4,3.37664e-4,0.01219114,0,1.86e-5,5.38e-5,0.007990753,0.001337667,2.15214e-4,0.004450851,0.00135251,1.16884e-4,8.57146e-4,0,9.28e-6,0,5.19e-5,0.001871992,0,9.31358e-4,0,3.20966e-4,0.001196665,2.41e-5,0,5.49167e-4,1.68832e-4,0,0,0.001660489,1.39147e-4,1.48e-5,0,2.00372e-4,0,9.28e-6,1.00186e-4,0,3.9e-5,7.08722e-4,0,1.67e-5,7.42e-6,0,5.57e-6,0,5.19e-5,0,0,3.53e-5,0,0,0,0,0,3.71e-5,2.91281e-4,1.68832e-4,0,0,0,0,0,0,2.04e-5,0
DINP_high_wk40_inoculum_d0_E,1.71241e-4,0.559783295,0.136765565,1.07e-5,0.013061375,0,0.228252982,0.004537875,7.25632e-4,0.001132328,1.17728e-4,4.32382e-4,0.0157841,0.008116803,2.05489e-4,7.87707e-4,9.6965e-4,0.003007413,2.78266e-4,0.003724482,4.17399e-4,0.005543914,7.10648e-4,2.57e-5,1.73381e-4,1.09166e-4,5.15862e-4,3.12514e-4,0.001819431,8.66905e-4,2.14e-5,1.02744e-4,2.29034e-4,1.15587e-4,2.24753e-4,6.20747e-4,0.00143414,1.71e-5,3.42481e-4,2.84687e-4,1.41273e-4,0.001115204,8.54062e-4,0.002791221,1.691e-4,2.20472e-4,0,0,0,3.85e-5,0,5.78e-5,3.21e-5,2.35e-5,8.8617e-4,3e-5,0,4.68771e-4,4.07e-5,1.32711e-4,8.62624e-4,0,1.5e-5,3.85e-5,0,3.64e-5,0,1.93e-5,2.01208e-4,0,1.28e-5,2.35e-5,0,0,0,0,0,0,0,0,0,0,1.28e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-5,0
DINP_high_wk40_inoculum_d0_F,4.95e-5,0.405721866,0.309448385,0.002934002,0.023901436,0,0.174470812,0.004368403,8.22869e-4,0.002715919,2.13586e-4,4.96869e-4,0.021513765,0.003945727,2.22579e-4,6.52e-4,0.001845836,0.008622143,2.29324e-4,0.006493025,6.34014e-4,0.003869285,0.001647987,1.39393e-4,2.0909e-4,1.55131e-4,0.002255022,3.32745e-4,0.00326225,8.54345e-4,7.64e-5,1.28152e-4,3.97945e-4,5.05862e-4,7.73407e-4,0.001081421,0.001647987,3.15e-5,8.36359e-4,5.98042e-4,1.86607e-4,0.002351698,0.001312994,0.004098609,2.04593e-4,2.76538e-4,0,0,4.05e-5,1.4389e-4,0,6.07e-5,3.82e-5,8.32e-5,6.25021e-4,3.6e-5,0,0.00113538,1.12e-5,1.48386e-4,3.28248e-4,4.05e-5,6.97e-5,9.67e-5,0,1.10166e-4,0,8.09e-5,1.19159e-4,0,2.25e-5,1.93352e-4,0,0,0,0,0,0,2.25e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-5,0
DINP_high_wk40_inoculum_d0_G,3.61028e-4,0.556690882,0.186555056,0.001248906,0.009197825,0,0.157660201,0.005650512,0.001101976,0.00229211,1.23841e-4,7.59839e-4,0.031474528,0.001985655,1.61623e-4,7.74532e-4,0.002199754,0.008981627,1.82613e-4,0.004827703,0.00107259,0.002453733,0.001188035,7.14e-5,4.57582e-4,2.05702e-4,0.001322371,2.35088e-4,0.003780302,0.001731676,5.04e-5,8.61e-5,0.001011719,4.78572e-4,0.001612033,5.0376e-4,0.001328668,8.4e-6,7.80829e-4,3.58929e-4,1.38534e-4,0.001148154,0.001502885,0.002514604,1.80514e-4,4.38691e-4,0,0,0,2.35088e-4,0,0,7.14e-5,5.88e-5,6.77977e-4,4.83e-5,0,0.001013818,4.2e-5,1.38534e-4,1.74217e-4,3.99e-5,5.04e-5,6.93e-5,0,1.02851e-4,0,5.25e-5,1.93108e-4,0,0,9.03e-5,0,1.47e-5,0,0,0,0,0,0,0,0,0,3.57e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_control_d2_A,6.95e-5,0.491980724,1.3e-5,0.005431642,0,0.051939531,0.05324747,0.110114586,0.001729435,0.021244237,9.56e-5,0.044591606,0.034575658,0,0.001051566,0.030486719,0.005453368,0.015829977,2.86791e-4,0.022869384,0.001546932,0.002016225,0.045395489,0.005057945,0.0013905,4.51913e-4,0.009477128,6.90905e-4,0.002702785,0.002237836,0.00977261,0.001664255,1.43395e-4,0.003697862,0.006335467,0,3.73697e-4,0,0.005518548,0.001325321,4.77984e-4,1.47741e-4,9.7335e-4,0.002064024,1.99884e-4,0,0.001811996,0,2.17e-5,3.91e-5,0.001364428,0,0,0,2.61e-5,2.17e-5,5.21e-5,3.91e-5,1.91194e-4,0,0,0,1.99884e-4,0,2.61e-5,0,2.17e-5,0,1.56431e-4,2.17e-5,1.74e-5,6.52e-5,0,4.35e-5,1.3e-5,0,3.04e-5,0,0,0,1.99884e-4,1.65122e-4,5.65e-5,0,6.52e-5,4.78e-5,0,0,0,0,1.73813e-4,4.78e-5,2.17e-5,0,0,0,0,0
DINP_high_wk40_control_d2_B,1.4521e-4,0.309293243,2.28187e-4,0.026530031,3.21e-5,0.038999221,0.257692823,0.069395229,0.001206939,0.044796301,0.0011597929999999999,0.028116025,0.025579567,0,0.003183302,0.005891372,0.013010427,0.010068513,0.003072037,0.010979375,8.22227e-4,0.0138798,0.028876019,0.016203158,0.016993326,0.001668971,0.025234457,0.002951343,0.002941914,0.001567135,0.007056822,7.99597e-4,0.002781618,0.003613274,0.002368618,0,2.47045e-4,0,0.001027784,0.001344606,7.12848e-4,4.60146e-4,0.001587879,0.009789408,3.71511e-4,1.15036e-4,0.002470454,0,1.35781e-4,2.75333e-4,2.82876e-4,1.16922e-4,2.96077e-4,3.21e-5,3.26251e-4,0,0.001895272,4.53e-5,2.33844e-4,1.56525e-4,1.89e-5,0,1.81041e-4,0,6.22e-5,0,6.6e-5,0,8.49e-5,4.53e-5,0,0,0,3.02e-5,1.7e-5,6.03e-5,1.13e-5,0,1.13e-5,2.64e-5,3.77e-6,2.45e-5,3.39e-5,0,9.43e-6,9.99e-5,1.20694e-4,1.32e-5,0,0,0,3.77e-6,1.13e-5,0,0,0,0,0
DINP_high_wk40_control_d2_C,2.54089e-4,0.219336768,1.22043e-4,0.013586755,5.8e-5,0.039949982,0.219780923,0.088038814,0.003227129,0.067949782,4.68164e-4,0.018430451,0.110902816,0,0.00151453,0.009755414,0.012728455,0.018202371,8.46296e-4,0.021779623,5.10179e-4,0.006348222,0.018654529,0.010817786,0.030968839,0.004517581,0.017306057,0.008248887,0.004585605,0.004893713,0.00848497,0.001578552,0.001436503,0.002158756,0.00177062,0,1.78062e-4,0,0.00105837,0.002452859,0.003561246,5.24183e-4,0.00391337,0.004821688,3.26114e-4,1.40049e-4,8.12284e-4,0,3.00105e-4,0.001460511,0.004123443,2.78097e-4,1.7206e-4,2.2e-5,0.001986695,3e-5,0.001432501,0,3.40119e-4,8e-6,4.42155e-4,0,2.30081e-4,0,1.00035e-4,0,8.563e-4,0,8.2e-5,6.2e-5,0,0,3.8e-5,1.58055e-4,1.6e-5,0,7.2e-5,2.6e-5,8e-5,2.8e-5,1.4405e-4,1.7206e-4,1.4205e-4,0,1.2e-5,1.4405e-4,4e-5,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_control_d2_D,2.79013e-4,0.169280168,0.052081013,0.027300567,0,0,0.372750735,0.14653607,3.01515e-4,0.051738996,0,0.013696411,0.016245784,1.21506e-4,0.012164087,0.007105843,0.017055823,0.018291133,0.002954393,0.009259197,3.84769e-4,0.010728518,0.007555865,0.013514152,0.005157249,2.25011e-4,0.010136739,0.001410818,0.002952142,7.62787e-4,3.17265e-4,0.001066551,1.59758e-4,0.003757681,6.39031e-4,0,2.03e-5,0,0.003046647,6.2553e-4,0.003165903,0.003413415,4.0727e-4,3.10515e-4,0.00765937,0,0.001122804,0,1.48507e-4,0.001059801,1.35e-5,4.52272e-4,0,2.22761e-4,7.92038e-4,0,0,3.6e-5,3.15e-5,2.48e-5,0,6.2103e-4,3.82518e-4,6.98e-5,0,0,6.75e-6,0,4.73e-5,0,0,2.79013e-4,0,0,0,0,2.25e-5,0,0,0,0,2.03e-5,0,0,0,0,0,0,0,2.25e-5,0,0,0,0,0,6.75e-6,0,0
DINP_high_wk40_control_d2_E,7.38e-5,0.498988596,0.133167384,0.025711076,0.01115162,0,0.082944637,0.082516278,2.71294e-4,0.029540133,1.68964e-4,0.002056125,0.010323459,0.022757777,0.014190591,0.008983646,0.012289152,0.002748639,7.3535e-4,0.008493413,3.1175e-4,0.010275863,0.004224099,0.001484979,0.001830046,5.97323e-4,0.007962723,0.002770057,7.73426e-4,5.66386e-4,2.38e-5,2.64155e-4,2.86e-5,0.002758158,6.66e-5,0.002160835,9.80467e-4,0,1.33267e-4,6.3302e-4,0.002394052,0.002846209,5.2355e-4,0.004559647,4.49777e-4,3.33168e-4,1.0709e-4,0,2.62e-5,1.16609e-4,0,6.66e-5,5.47e-5,9.52e-6,9.82847e-4,0,0,0,3.81e-5,0.001011404,0,3.33e-5,5.47e-5,0.001132772,0,0,0,7.14e-6,1.68964e-4,0,0,0,0,0,0,0,1.19e-5,0,0,0,0,1.9e-5,9.04e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_control_d2_F,2.28e-5,0.40934403,0.321495191,0.017440243,0.029175009,0,0.063353142,0.022156041,6.39e-5,0.038091242,2.82765e-4,0.0023031699999999998,0.007630106,0.012309418,0.013381191,0.005176432,0.005016806,0.00236246,7.84446e-4,0.009221802,1.27701e-4,0.006731642,0.001951994,0.001149305,0.001837975,9.44072e-4,0.005938074,7.89007e-4,5.06241e-4,1.55065e-4,3.65e-5,2.5084e-4,0,0.003457036,1.32261e-4,8.20932e-4,1.18579e-4,0,1.41383e-4,7.06914e-4,0.002097937,0.002572253,5.6097e-4,0.00603385,7.06914e-4,4.46952e-4,5.47e-5,0,1.09458e-4,1.14018e-4,0,1.14018e-4,0,2.74e-5,4.46952e-4,0,0,1.82e-5,4.56e-5,6.29381e-4,0,3.19e-5,0,4.19587e-4,0,0,0,0,9.58e-5,0,0,0,0,0,0,0,1.37e-5,0,0,0,0,3.19e-5,2.28e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_control_d2_G,1.18337e-4,0.516867684,0.187716627,0.024016169,0.012465861,0,0.084754155,0.029995298,1.33908e-4,0.045634457,1.37022e-4,0.004172934,0.01229147,0.006972536,0.006222031,0.003824151,0.008760047,0.002338711,8.43929e-4,0.008358324,3.58125e-4,0.009280107,0.004144907,0.003182641,0.002858771,5.63657e-4,0.004440749,0.001672288,7.47391e-4,6.88223e-4,7.16e-5,1.74391e-4,2.92728e-4,0.002027298,2.61587e-4,1.93076e-4,2.67815e-4,0,2.42902e-4,4.26636e-4,0.00134219,0.002310684,7.3182e-4,0.003515852,0.001712771,4.01723e-4,1.0588e-4,0,4.05e-5,1.12109e-4,3.11e-5,4.98e-5,0,0,3.7681e-4,0,0,2.49e-5,9.34e-5,7.06907e-4,0,5.92e-5,4.05e-5,4.98261e-4,0,0,0,0,2.42902e-4,0,0,0,0,0,1.25e-5,0,0,0,0,0,0,4.36e-5,1.87e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d2_A,2.58633e-4,0.356334772,6.93e-5,0.020141368,0,0.016979115,0.239168749,0.05624865,0.002791635,0.029796107,1.17318e-4,0.045242088,0.031425227,0,0.003108927,0.018858869,0.008260254,0.016712483,0.002509005,0.021954465,0.00155713,0.01482473,0.033398303,0.013344923,0.010379977,3.5462e-4,0.014787401,0.001581127,0.002652987,0.001746438,0.00548195,0.001562463,1.22651e-4,0.002682316,0.005233983,0,7.57234e-4,0,0.005185989,0.001231839,4.66606e-4,7.86564e-4,7.73232e-4,0.003282238,3.70618e-4,0,0.003018272,0,1.06653e-4,8.27e-5,0.001786433,1.33e-5,0,4.27e-5,6.13253e-4,0,0,4.27e-5,2.69298e-4,0,2.4e-5,1.07e-5,3.09293e-4,0,4.53e-5,0,5.6e-5,0,1.22651e-4,2.13e-5,0,1.35982e-4,0,5.87e-5,2.4e-5,0,5.07e-5,0,4e-5,0,0,9.33e-5,7.2e-5,0,5.87e-5,2.0264e-4,0,2.13e-5,0,0,1.3065e-4,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d2_B,1.66325e-4,0.33452731,2.58398e-4,0.054575425,9.21e-5,0.046309662,0.17329591,0.112076391,0.001413763,0.036873682,0.001134575,0.012994149,0.023935965,0,0.005652084,0.006685675,0.014942529,0.017235439,0.003011672,0.014927678,0.001054382,0.011289317,0.021417328,0.012982269,0.017265139999999998,0.001021711,0.024467611,0.00227509,0.003421545,0.001390003,0.015836526,8.96968e-4,0.002465176,0.00131575,0.001888978,0,3.47501e-4,0,0.001048442,9.23698e-4,2.10876e-4,4.81155e-4,0.002970091,0.008681577,1.84146e-4,8.02e-5,0.002661202,0,3.83142e-4,1.87116e-4,1.72265e-4,6.53e-5,3.2374e-4,4.16e-5,7.60343e-4,0,7.13e-5,4.16e-5,1.15834e-4,2.67e-5,6.24e-5,0,4.15813e-4,0,8.91e-5,0,4.46e-5,0,0,6.83e-5,0,0,0,2.97e-5,0,0,0,0,0,2.38e-5,1.30684e-4,3.56e-5,8.91e-5,0,0,4.16e-5,7.13e-5,0,0,0,0,2.97e-6,2.08e-5,0,0,0,0,0
DINP_high_wk40_dinp_d2_C,1.8334e-4,0.191093905,1.24884e-4,0.019638686,5.05e-5,0.030190063,0.246263442,0.097234216,0.003565839,0.063789196,3.24167e-4,0.018400474,0.104817603,0,0.001620836,0.009823329,0.012127042,0.018663528,7.97132e-4,0.024503851,3.45424e-4,0.006114006,0.020358763,0.00864623,0.031802928,0.004357657,0.022452564,0.007676385,0.004458627,0.004939564,0.00973033,0.001448124,0.001588951,0.00188389,0.001897175,0,1.8334e-4,0,0.00118507,0.002399369,0.00320713,6.48334e-4,0.00415306,0.004657911,3.4011e-4,6.38e-5,7.6259e-4,0,3.08225e-4,0.001264783,0.002455168,2.78996e-4,1.72712e-4,0,0.002123029,2.66e-5,0.00176432,0,2.44454e-4,0,4.64994e-4,0,2.36483e-4,0,9.57e-5,0,9.19359e-4,0,5.58e-5,7.17e-5,1.86e-5,0,4.25e-5,1.56769e-4,1.86e-5,0,8.24e-5,0,1.0097e-4,0,0,1.64741e-4,1.78026e-4,0,7.97e-6,1.75369e-4,3.99e-5,0,0,0,0,1.33e-5,0,0,0,0,0,0
